Anhui (安徽) — Hefei (合肥)
Fujian (福建) — Fuzhou (福州)
Gansu (甘肃) — Lanzhou (兰州)
Guangdong (广东) — Guangzhou (广州)
Guizhou (贵州) — Guiyang (贵阳)
Hainan (海南) — Haikou (海口)
Hebei (河北) — Shijiazhuang (石家庄)
Heilongjiang (黑龙江) — Harbin (哈尔滨)
Henan (河南) — Zhengzhou (郑州)
Hubei (湖北) — Wuhan (武汉)
Hunan (湖南) — Changsha (长沙)
Jiangsu (江苏) — Nanjing (南京)
Jiangxi (江西) — Nanchang (南昌)
Jilin (吉林) — Changchun (长春)
Liaoning (辽宁) — Shenyang (沈阳)
Qinghai (青海) — Xining (西宁)
Shaanxi (陕西) — Xi'an (西安)
Shandong (山东) — Jinan (济南)
Shanxi (山西) — Taiyuan (太原)
Sichuan (四川) — Chengdu (成都)
Yunnan (云南) — Kunming (昆明)
Zhejiang (浙江) — Hangzhou (杭州)
Guangxi (广西) — Nanning (南宁)
InnerMongolia (内蒙古) — Hohhot (呼和浩特)
NingxiaHui (宁夏回族) — Yinchuan (银川)
XinjiangUighur (新疆维吾尔族) — Urumqi (乌鲁木齐)
Tibet (西藏) — Lhasa (拉萨)
Beijing (北京)
Chongqing (重庆)
Shanghai (上海)
Tianjin (天津)
HongKong (香港)
Macau (澳门)
